FlightID  X_Position  Y_Position  Z_Position  X_Speed  Y_Speed  Z_Speed
 id: AC001 positionX: 85308.7 positionY: 91726.7 positionZ: 25000 speedX: 243 speedY: 260 speedZ: 0
-------------------------------------------------------------------------------------
* This file was automatically generated at: 2023-04-03_23-00-02
